y,word,pos,length,freq,unigram,w1,w1w2,p0w1,p0w1w2,p0p1w1,p0p1w1w2
14.3525209204,airplane,nouns,8,38.0000000000,0.0000762226,0.0042133203,0.0025400728,0.0039294610,0.0021874705,0.0041722288,0.0021874705
19.1801012377,all,function_words,3,1825.0000000000,0.0033191900,0.0127110608,0.0286391693,0.0432139266,0.0570158305,0.0409153540,0.0475540093
9.6993106283,gone,adjectives,4,236.0000000000,0.0004114070,0.0657189674,0.1749431725,0.1596551714,0.2253637661,0.1747863166,0.2895522633
16.8877763338,animal,nouns,6,32.0000000000,0.0000570082,0.1029240000,0.0469325000,0.0895546000,0.0469325000,0.0895546000,0.0469325000
18.8356551094,another,function_words,7,345.0000000000,0.0006569250,0.0121082644,0.0154186508,0.0730881568,0.0509172240,0.0716363498,0.0675336755
14.0648252807,apple,nouns,5,97.0000000000,0.0001530800,0.0004208871,0.0011767830,0.0011204055,0.0026751356,0.0012956892,0.0028475433
15.6421712024,arm,nouns,3,84.0000000000,0.0001317310,0.0045648473,0.0069017827,0.0339085902,0.0395239265,0.0319406993,0.0384389687
16.5113951018,asleep,adjectives,6,25.0000000000,,,,,,,
23.0556320803,aunt,other,4,16.0000000000,0.0000377938,0.0003063104,0.0005809557,0.0001379798,0.0005715249,0.0001432532,0.0005866191
19.8068344616,away,function_words,4,406.0000000000,0.0007658060,0.0369573697,0.0831460888,0.0598935579,0.1073764993,0.0571090258,0.0802395615
12.5813683686,baa,other,3,117.0000000000,0.0002192630,0.0005269232,0.0005381431,0.0069768776,0.0070935309,0.0076745718,0.0076175567
10.9645681172,baby,other,4,1844.0000000000,0.0033056145,0.0248688915,0.0390183915,0.0492789395,0.0607238124,0.0485498532,0.0542325203
18.0249545886,back,function_words,4,1408.0000000000,0.0025335400,0.0234701996,0.0769591867,0.0821096286,0.1321300459,0.0811538827,0.1057752461
17.5474979838,bad,adjectives,3,129.0000000000,0.0002534220,0.0051516011,0.0268642468,0.0086418348,0.0454407139,0.0195169565,0.0413584816
9.4815411949,ball,nouns,4,981.0000000000,0.0017243900,0.0403280335,0.1300779526,0.0856770209,0.1461830935,0.0914042700,0.1438873300
12.0018931067,balloon,nouns,7,62.0000000000,0.0001381360,0.0039126843,0.0040240684,0.0066749367,0.0557928806,0.0059468518,0.0319695160
11.4495490718,banana,nouns,6,112.0000000000,0.0001893740,0.0017991276,0.0017480258,0.0036999180,0.0102179990,0.0033981680,0.0102247903
8.8700911078,bath,other,4,215.0000000000,0.0003772480,0.0054142828,0.0456850125,0.0100687709,0.0843220014,0.0085314784,0.0900946206
21.9610290966,beach,nouns,5,6.0000000000,,,,,,,
22.0076250978,beads,nouns,5,28.0000000000,0.0000463335,0.0003022920,0.0004542537,0.0002909317,0.0003328686,0.0003082622,0.0003363699
14.2551365951,bear,nouns,4,461.0000000000,0.0007745558,0.1074251593,0.1774403935,0.1707192949,0.2037660440,0.1713057962,0.1575354205
12.9271091728,bed,nouns,3,173.0000000000,0.0003388200,0.0054937233,0.0174347840,0.0135277475,0.0559602123,0.0118789164,0.0560236373
17.2380270483,bee,nouns,3,80.0000000000,0.0001338660,0.0018948827,0.0046025824,0.0207578259,0.0046280280,0.0148493725,0.0044652961
14.2217595767,bib,nouns,3,90.0000000000,0.0001765650,0.0035810782,0.0141105059,0.0117920940,0.0475593288,0.0120306995,0.0265003064
16.2510494648,bicycle,nouns,7,6.0000000000,,,,,,,
17.4681873019,big,adjectives,3,1112.0000000000,0.0020361000,0.0200917078,0.0434205279,0.0518373574,0.0556993997,0.0530663302,0.0472984784
12.4469008115,bird,nouns,4,301.0000000000,0.0005245600,0.0378664036,0.0999923015,0.0808588768,0.1461759680,0.0775581559,0.1230746434
12.7299864890,bite,verbs,4,360.0000000000,0.0006184960,0.0083474498,0.0498330751,0.0187010884,0.0783143935,0.0207587216,0.0728249353
12.7202137786,blanket,nouns,7,45.0000000000,0.0000783576,0.0284154045,0.2500823225,0.0190340870,0.2402414373,0.0185553513,0.2342990655
14.1186759102,block,nouns,5,89.0000000000,0.0001658900,0.0038731223,0.0020768562,0.0541076858,0.0018362876,0.0538177891,0.0018506676
14.3041701035,blow,verbs,4,85.0000000000,0.0001488100,0.0005498816,0.0010146120,0.0003806979,0.0008221942,0.0003364225,0.0010033718
20.0355024172,blue,adjectives,4,205.0000000000,0.0004178120,0.0014333910,0.0019530844,0.0043478344,0.0026430814,0.0047081626,0.0027541537
9.9832056063,book,nouns,4,901.0000000000,0.0016197800,0.0209713789,0.0691318773,0.0462776689,0.1013333971,0.0450485338,0.0971465389
17.9075097780,boots,nouns,5,4.0000000000,,,,,,,
6.4770616168,bottle,nouns,6,216.0000000000,0.0004050030,0.0290638500,0.0291406617,0.0404129983,0.0446960477,0.0383322890,0.0452139104
15.1959719992,bowl,nouns,4,132.0000000000,0.0002363430,0.0030665689,0.0213644073,0.0397331400,0.0494709524,0.0388971849,0.0515832694
16.0524392710,box,nouns,3,163.0000000000,0.0003089310,0.0088332645,0.0308240811,0.0617241592,0.1099846116,0.0600054580,0.1681877428
18.2278052751,boy,other,3,1117.0000000000,0.0019399831,0.1102540667,0.1534297637,0.1998540536,0.2202489322,0.2028712391,0.2124393931
14.5613188395,bread,nouns,5,78.0000000000,0.0001680250,0.0205061683,0.0260480337,0.0221488336,0.0679149924,0.0217405488,0.0679143174
18.4580044148,break,verbs,5,45.0000000000,0.0000804924,0.0030164412,0.0050660654,0.0068440944,0.0360283844,0.0068948290,0.0360149258
13.1554298979,breakfast,other,9,72.0000000000,0.0001637550,0.0098237633,0.1183491237,0.0731304226,0.1126615428,0.0600910573,0.0851403971
13.2675147137,bring,verbs,5,152.0000000000,0.0002769060,0.0009229641,0.0018014287,0.0050478753,0.0020141199,0.0045738506,0.0024784128
18.2118755802,broken,adjectives,6,12.0000000000,0.0000207142,0.0001056388,0.0000858616,0.0001138550,0.0001004978,0.0001185002,0.0000990961
15.8561544730,broom,nouns,5,28.0000000000,0.0000463335,0.0001825202,0.0018049691,0.0002135256,0.0009237402,0.0002431387,0.0009842161
12.9624879181,brush,nouns,5,138.0000000000,0.0002149930,0.0004241618,0.0014126702,0.0011757263,0.0032795891,0.0009775697,0.0015321810
14.0674511806,bubbles,nouns,7,81.0000000000,0.0001488100,0.0001003225,0.0000972922,0.0021248877,0.0022405333,0.0028523234,0.0027181009
17.0921269641,bug,nouns,3,68.0000000000,0.0001018420,0.0068027047,0.0275311317,0.0085545984,0.0423685220,0.0083114083,0.0423685220
18.0602275822,bump,verbs,4,47.0000000000,0.0000868972,0.0003385470,0.0055583037,0.0005086903,0.0075522287,0.0005207727,0.0075267423
13.9226465200,bunny,nouns,5,409.0000000000,0.0007188400,0.0146700243,0.0365165336,0.0374414869,0.0649390582,0.0345661124,0.0548653371
16.8310683718,bus,nouns,3,163.0000000000,0.0002897160,0.0276107908,0.1109209909,0.0997996397,0.2997616969,0.1040377577,0.3450485014
19.2695310070,butter,nouns,6,11.0000000000,0.0000228492,0.0000597599,0.0000664949,0.0000576390,0.0000519188,0.0000594293,0.0000522346
17.4207356927,butterfly,nouns,9,45.0000000000,0.0000783576,0.0006801301,0.0003479526,0.0003901732,0.0002418688,0.0003567705,0.0002474914
15.5738378769,button,nouns,6,90.0000000000,0.0001466760,0.0073937807,0.0588313988,0.0205944407,0.0977063740,0.0204988772,0.0641153294
7.0107122181,bye,other,3,132.0000000000,0.0002320730,0.0123767503,0.0057282993,0.0197039064,0.0068900641,0.0205081867,0.0063673102
18.8390575065,cake,nouns,4,84.0000000000,0.0001552150,0.0024384674,0.2154387374,0.0022175961,0.1750389427,0.0023360894,0.1787508562
17.9294717992,candy,nouns,5,9.0000000000,,,,,,,
11.0942546022,car,nouns,3,274.0000000000,0.0004348920,0.0038124138,0.0246648044,0.0094756113,0.0376306659,0.0091403437,0.0383544752
13.6389998452,careful,adjectives,7,256.0000000000,0.0004989400,0.0646103000,0.1986313233,0.1634682873,0.2789699536,0.1749334705,0.2170797987
16.4818069163,carrots,nouns,7,41.0000000000,0.0000826273,0.0001399342,0.0001869668,0.0001517595,0.0001322704,0.0001560004,0.0001364657
11.4236912779,cat,nouns,3,191.0000000000,0.0004412970,0.0615154532,0.0717512317,0.2468171273,0.1469159249,0.2512028372,0.1003155504
14.0854315908,cereal,nouns,6,87.0000000000,0.0001872390,0.0050180079,0.0086129104,0.0308001860,0.0184046875,0.0295529885,0.0106261505
13.5641093331,chair,nouns,5,276.0000000000,0.0005266950,0.0313517255,0.0990456893,0.0441842527,0.1167950544,0.0418148090,0.1131197112
17.9738508527,cheek,nouns,5,9.0000000000,0.0000121745,0.0003042220,0.0001155100,0.0002457100,0.0010183900,0.0002247490,0.0009932150
11.9641967838,cheerios,nouns,8,84.0000000000,0.0001616200,0.0023452254,0.0027580140,0.0019219649,0.0025857202,0.0017907973,0.0025815022
13.4902455660,cheese,nouns,6,214.0000000000,0.0004007330,0.0247641946,0.0859565369,0.0396279333,0.1157727468,0.0436281883,0.1187993294
17.6940032689,chicken,nouns,7,186.0000000000,0.0003174700,0.0032000727,0.0040773670,0.0089675179,0.0153120440,0.0081505191,0.0145394955
25.3159928698,child,other,5,1.0000000000,,,,,,,
15.3952170345,choo,other,4,98.0000000000,0.0001530800,0.3881561493,0.2456688625,0.4641637184,0.2695530275,0.4740414475,0.3278089455
22.6102657819,church,nouns,6,1.0000000000,,,,,,,
17.0435504360,clean,adjectives,5,350.0000000000,0.0005950120,0.0037310395,0.0305411839,0.0416379506,0.0697734019,0.0371648095,0.0331961562
17.2585840280,clock,nouns,5,37.0000000000,0.0000634129,0.0008196583,0.0009261545,0.0015191371,0.0008607602,0.0012974844,0.0008468384
13.9366031298,close,verbs,5,275.0000000000,0.0005053450,0.0016446927,0.0020498682,0.0032937331,0.0030817269,0.0033163258,0.0031730596
16.1295768863,coat,nouns,4,46.0000000000,0.0000762226,0.0022709218,0.0031694405,0.0068664240,0.0744120867,0.0198373350,0.0458285868
18.7109375810,coffee,nouns,6,13.0000000000,0.0000804924,0.0001870495,0.0001897008,0.0005165888,0.0004705302,0.0006087967,0.0006362464
15.5425703209,cold,adjectives,4,189.0000000000,0.0003324150,0.0026322061,0.0163373184,0.0321307124,0.0535043135,0.0342501168,0.0765586846
15.5425260843,comb,nouns,4,37.0000000000,0.0000762226,0.0002212043,0.0002056166,0.0001735137,0.0002598143,0.0001756083,0.0002670387
11.8586581102,cookie,nouns,6,206.0000000000,0.0003729790,0.0042946051,0.0156215876,0.0340661828,0.0183023259,0.0363426554,0.0183478093
15.5035900187,couch,nouns,5,47.0000000000,0.0000911671,0.0030274492,0.0598492739,0.0117862498,0.0580078464,0.0111644370,0.0574212464
14.1025754110,cow,nouns,3,241.0000000000,0.0003964630,0.0039820086,0.0107611061,0.0357771343,0.0413929077,0.0380276189,0.0329916637
11.8334053928,cracker,nouns,7,34.0000000000,0.0000847624,0.0000778193,0.0000735567,0.0000531429,0.0000547171,0.0000435854,0.0000692781
14.6097602418,crib,nouns,4,18.0000000000,0.0000313890,0.0073410600,0.4313050000,0.0014776000,0.1102300000,0.0015700200,0.1102300000
15.1489862944,cry,verbs,3,59.0000000000,0.0001018420,0.0026748205,0.0045202761,0.0204894145,0.0256428363,0.0172334352,0.0237228743
11.2042779333,cup,nouns,3,210.0000000000,0.0003921930,0.0156801995,0.0219923764,0.0153013764,0.0155157755,0.0163136607,0.0156157199
21.1714776152,cute,adjectives,4,85.0000000000,0.0001701600,0.0042676120,0.0086957625,0.0076001511,0.0084394315,0.0065040186,0.0073499369
12.1128035671,dance,verbs,5,57.0000000000,0.0001018420,0.0000925568,0.0000877638,0.0000643593,0.0000686915,0.0000578056,0.0000855537
19.5882744410,dark,adjectives,4,17.0000000000,0.0000399287,0.0008811487,0.0012810657,0.0009325720,0.0018700117,0.0009728350,0.0018775650
21.8052880001,day,other,3,164.0000000000,0.0003409550,0.0496303481,0.0605221006,0.0871015293,0.0777405665,0.0798830234,0.0778812522
19.7875234690,deer,nouns,4,7.0000000000,0.0000100395,0.0000095420,0.0000141433,0.0000102112,0.0000100856,0.0000108499,0.0000100856
9.9396927056,diaper,nouns,6,309.0000000000,0.0005266950,0.0082905526,0.1349105840,0.0235141208,0.1403399198,0.0235352530,0.1172893451
14.2175486702,dinner,other,6,104.0000000000,0.0001786990,0.0093283029,0.0093538215,0.0198133002,0.1097316386,0.0175538200,0.0837433609
15.1616532849,dirty,adjectives,5,191.0000000000,0.0003366850,0.0022218694,0.0216661411,0.0032603959,0.0117467464,0.0033008755,0.0118185855
17.7079575029,dish,nouns,4,17.0000000000,0.0000271190,0.0004780530,0.0006167667,0.0004331113,0.0007845360,0.0004539660,0.0009189780
9.6544774518,dog,nouns,3,243.0000000000,0.0004174095,0.0036075776,0.0354823172,0.0168888207,0.0468305681,0.0144004299,0.0455832040
14.3822163096,doll,nouns,4,43.0000000000,0.0000762226,0.0040313287,0.0038106814,0.0206635039,0.0403345860,0.0179180962,0.0403336106
11.3126629760,don't,other,5,3079.0000000000,,,,,,,
19.8167617989,donkey,nouns,6,8.0000000000,0.0000185793,0.0000298970,0.0000307641,0.0000303832,0.0000307641,0.0000303832,0.0000307641
12.6201064176,door,nouns,4,274.0000000000,0.0005224240,0.0349539301,0.1790414081,0.0603699166,0.2133517645,0.0589640692,0.1648030349
12.9029730670,down,function_words,4,1858.0000000000,0.0032572800,0.1994529335,0.2298184664,0.2391509967,0.2669627607,0.2354684971,0.2290601723
17.0173435077,draw,verbs,4,11.0000000000,0.0000207142,0.0001588860,0.0001180430,0.0001398180,0.0000530664,0.0001348510,0.0000631817
17.2599907662,drawer,nouns,6,29.0000000000,0.0000463335,0.0005096717,0.0073996167,0.0005201933,0.0162311857,0.0005553297,0.0278308573
19.2122775409,dress,nouns,5,9.0000000000,,,,,,,
12.0070467039,drink,nouns,5,280.0000000000,0.0004754560,0.0045360463,0.0553701706,0.0207774562,0.0701539940,0.0183732495,0.0740569446
16.9727367723,drive,verbs,5,29.0000000000,0.0000463335,0.0000196258,0.0000172498,0.0000183450,0.0000107644,0.0000184256,0.0000125981
18.9042898244,dry,adjectives,3,120.0000000000,0.0002149930,0.0001551085,0.0001699538,0.0002863080,0.0005476888,0.0003088819,0.0005893650
12.8903528440,duck,nouns,4,167.0000000000,0.0002726370,0.0203986614,0.0421889748,0.0797796326,0.0900824976,0.0696809530,0.1030383779
