id,gemaps_feature
freq,freq
length,length
f0,F0semitoneFrom27.5Hz_sma3nz_amean
f1,F0semitoneFrom27.5Hz_sma3nz_stddevNorm
f2,F0semitoneFrom27.5Hz_sma3nz_percentile20.0
f3,F0semitoneFrom27.5Hz_sma3nz_percentile50.0
f4,F0semitoneFrom27.5Hz_sma3nz_percentile80.0
f5,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2
f6,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope
f7,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope
f8,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope
f9,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope
f10,loudness_sma3_amean
f11,loudness_sma3_stddevNorm
f12,loudness_sma3_percentile20.0
f13,loudness_sma3_percentile50.0
f14,loudness_sma3_percentile80.0
f15,loudness_sma3_pctlrange0-2
f16,loudness_sma3_meanRisingSlope
f17,loudness_sma3_stddevRisingSlope
f18,loudness_sma3_meanFallingSlope
f19,loudness_sma3_stddevFallingSlope
f20,spectralFlux_sma3_amean
f21,spectralFlux_sma3_stddevNorm
f22,mfcc1_sma3_amean
f23,mfcc1_sma3_stddevNorm
f24,mfcc2_sma3_amean
f25,mfcc2_sma3_stddevNorm
f26,mfcc3_sma3_amean
f27,mfcc3_sma3_stddevNorm
f28,mfcc4_sma3_amean
f29,mfcc4_sma3_stddevNorm
f30,jitterLocal_sma3nz_amean
f31,jitterLocal_sma3nz_stddevNorm
f32,shimmerLocaldB_sma3nz_amean
f33,shimmerLocaldB_sma3nz_stddevNorm
f34,HNRdBACF_sma3nz_amean
f35,HNRdBACF_sma3nz_stddevNorm
f36,logRelF0-H1-H2_sma3nz_amean
f37,logRelF0-H1-H2_sma3nz_stddevNorm
f38,logRelF0-H1-A3_sma3nz_amean
f39,logRelF0-H1-A3_sma3nz_stddevNorm
f40,F1frequency_sma3nz_amean
f41,F1frequency_sma3nz_stddevNorm
f42,F1bandwidth_sma3nz_amean
f43,F1bandwidth_sma3nz_stddevNorm
f44,F1amplitudeLogRelF0_sma3nz_amean
f45,F1amplitudeLogRelF0_sma3nz_stddevNorm
f46,F2frequency_sma3nz_amean
f47,F2frequency_sma3nz_stddevNorm
f48,F2bandwidth_sma3nz_amean
f49,F2bandwidth_sma3nz_stddevNorm
f50,F2amplitudeLogRelF0_sma3nz_amean
f51,F2amplitudeLogRelF0_sma3nz_stddevNorm
f52,F3frequency_sma3nz_amean
f53,F3frequency_sma3nz_stddevNorm
f54,F3bandwidth_sma3nz_amean
f55,F3bandwidth_sma3nz_stddevNorm
f56,F3amplitudeLogRelF0_sma3nz_amean
f57,F3amplitudeLogRelF0_sma3nz_stddevNorm
f58,alphaRatioV_sma3nz_amean
f59,alphaRatioV_sma3nz_stddevNorm
f60,hammarbergIndexV_sma3nz_amean
f61,hammarbergIndexV_sma3nz_stddevNorm
f62,slopeV0-500_sma3nz_amean
f63,slopeV0-500_sma3nz_stddevNorm
f64,slopeV500-1500_sma3nz_amean
f65,slopeV500-1500_sma3nz_stddevNorm
f66,spectralFluxV_sma3nz_amean
f67,spectralFluxV_sma3nz_stddevNorm
f68,mfcc1V_sma3nz_amean
f69,mfcc1V_sma3nz_stddevNorm
f70,mfcc2V_sma3nz_amean
f71,mfcc2V_sma3nz_stddevNorm
f72,mfcc3V_sma3nz_amean
f73,mfcc3V_sma3nz_stddevNorm
f74,mfcc4V_sma3nz_amean
f75,mfcc4V_sma3nz_stddevNorm
f76,alphaRatioUV_sma3nz_amean
f77,hammarbergIndexUV_sma3nz_amean
f78,slopeUV0-500_sma3nz_amean
f79,slopeUV500-1500_sma3nz_amean
f80,spectralFluxUV_sma3nz_amean
f81,loudnessPeaksPerSec
f82,VoicedSegmentsPerSec
f83,MeanVoicedSegmentLengthSec
f84,StddevVoicedSegmentLengthSec
f85,MeanUnvoicedSegmentLength
f86,StddevUnvoicedSegmentLength
f87,equivalentSoundLevel_dBp
