y,word,pos,length,freq,unigram,w1,w1w2,p0w1,p0w1w2,p0p1w1,p0p1w1w2
26.023255228096303,all,function_words,3,1934.0000000000,0.0033348100,0.0184346354,0.0311854035,0.0185218980,0.0519633351,0.0186744574,0.0513895800
22.883170779844534,dance,verbs,5,57.0000000000,0.0000954430,0.0132620755,0.0531408228,0.0217565266,0.0810431368,0.0217684347,0.0810635166
16.924222975382765,ouch,other,4,92.0000000000,0.0001638200,0.0005042729,0.0005169106,0.0002685157,0.0002680377,0.0002221444,0.0003854525
23.729716630460892,yellow,adjectives,6,244.0000000000,0.0004010030,0.0101983734,0.0099938923,0.0088704738,0.0181207525,0.0089129739,0.0181591443
26.790996306915,windy,adjectives,5,9.0000000000,0.0000142452,0.0000124927,0.0000129757,0.0000098891,0.0000090917,0.0000101703,0.0000094922
22.375606909077955,sleep,verbs,5,122.0000000000,0.0002257870,0.0091868552,0.1263895206,0.0092713661,0.1555706218,0.0094933258,0.1512405718
26.47929069264927,dish,nouns,4,17.0000000000,0.0000249292,0.0004876820,0.0005249540,0.0005314840,0.0003545470,0.0005655380,0.0003545470
20.229166557598372,chair,nouns,5,303.0000000000,0.0005292100,0.0425540410,0.0440677357,0.0497928285,0.0690232575,0.0500091033,0.0695089344
33.40549267415279,hate,verbs,4,11.0000000000,0.0000185188,0.0016483500,0.0003239440,0.0023116900,0.0001689060,0.0023116900,0.0001689060
17.41795394022616,milk,nouns,4,214.0000000000,0.0003668150,0.0155704580,0.0274543448,0.0172342718,0.0721857398,0.0174548176,0.0729151961
24.593547322405648,hold,verbs,4,534.0000000000,0.0009116940,0.0045338906,0.0068069717,0.0043941387,0.0072971054,0.0044882369,0.0076111363
22.73101362876104,tickle,verbs,6,351.0000000000,0.0006146810,0.1887595770,0.2556912391,0.1915624388,0.3166182186,0.1916452213,0.3172503293
27.22842495335402,to,function_words,2,5409.0000000000,0.0093434400,0.1647874393,0.2423964049,0.1699949474,0.2698533313,0.1703470652,0.2637142938
31.013211762033148,does,verbs,4,500.0000000000,0.0008924620,0.0153542894,0.0325866281,0.0223284601,0.0421377661,0.0229141541,0.0420092902
29.89980121135788,those,function_words,5,666.0000000000,0.0011296500,0.0056166417,0.0136771674,0.0063647420,0.0218246024,0.0066178451,0.0239620900
26.320329733330965,under,function_words,5,154.0000000000,0.0002792060,0.0015239522,0.0031356712,0.0018725774,0.0076885780,0.0018771879,0.0076925738
26.353412962088083,smile,verbs,5,28.0000000000,0.0000505706,0.0000668006,0.0000906699,0.0000885194,0.0000668139,0.0000871065,0.0000759940
26.4364432376507,brown,adjectives,5,144.0000000000,0.0002428810,0.0394633150,0.0722795287,0.0157558730,0.0605703075,0.0157579200,0.0605784026
28.36408287853539,garden,nouns,6,23.0000000000,0.0000377498,0.0000483516,0.0000376807,0.0000454402,0.0000237345,0.0000483517,0.0000237345
19.903709202066764,blanket,nouns,7,45.0000000000,0.0000762119,0.0205146895,0.1853589593,0.0154594825,0.2074625880,0.0154669190,0.2074625880
17.26248834984024,kitty,nouns,5,1112.0000000000,0.0018609979,0.0174453615,0.0582652346,0.0148079177,0.0820233499,0.0150073683,0.0826158424
18.675097278024364,peekaboo,other,8,359.0000000000,0.0006275020,0.0141778035,0.0187935290,0.0152766425,0.0363870994,0.0154639798,0.0365776323
19.471977672255708,spoon,nouns,5,211.0000000000,0.0003518570,0.0065180246,0.0214641788,0.0042781903,0.0314185484,0.0044700678,0.0313956966
32.15239116807415,every,function_words,5,30.0000000000,0.0000527073,0.0583015875,0.0737088168,0.0627009048,0.1481977920,0.0613384654,0.1482004824
22.87169478293961,fall,verbs,4,222.0000000000,0.0003860460,0.0082770104,0.0256241877,0.0084880167,0.0369095351,0.0086309167,0.0386869579
24.62698132789379,cook,verbs,4,24.0000000000,0.0000356131,0.0002145082,0.0001820739,0.0002189125,0.0001234667,0.0002356626,0.0001208743
17.56769342888419,bubbles,nouns,7,83.0000000000,0.0001403160,0.0175012291,0.0137656586,0.0209612098,0.0493528288,0.0209634594,0.0493603519
25.265521045418033,wipe,verbs,4,146.0000000000,0.0002535650,0.0065982623,0.0109587977,0.0078206047,0.0255446849,0.0080756524,0.0256383287
23.118764227018126,school,nouns,6,43.0000000000,0.0000762119,0.0013651382,0.0094199681,0.0016425141,0.0077114456,0.0016697916,0.0077588260
28.522976500646106,tricycle,nouns,8,1.0000000000,,,,,,,
29.47218118439899,tear,verbs,4,28.0000000000,0.0000505706,0.0003120596,0.0003170209,0.0004055037,0.0164367952,0.0004131792,0.0164367952
21.762738949944726,button,nouns,6,90.0000000000,0.0001638200,0.0279773657,0.0308354841,0.0736056066,0.0598437453,0.0736807760,0.0598437453
26.478081710313287,brother,other,7,3.0000000000,0.0000042883,0.0000136341,0.0000155481,0.0000142053,0.0000138417,0.0000141946,0.0000138418
26.464930025372052,gum,nouns,3,13.0000000000,0.0000185188,0.0001054630,0.0215823000,0.0000494687,0.0088299900,0.0000526383,0.0088299900
32.081031283875184,woods,nouns,5,5.0000000000,,,,,,,
26.814435313116693,radio,nouns,5,19.0000000000,0.0000292027,0.0003955010,0.0003625255,0.0003435910,0.0039681080,0.0003691595,0.0038845780
27.173342264726077,sidewalk,nouns,8,7.0000000000,0.0000142452,0.0004787070,0.0068988790,0.0023710420,0.0036383610,0.0020307720,0.0036368295
21.119821482393764,bicycle,nouns,7,6.0000000000,0.0000078349,0.0001330680,0.0001741610,0.0000792791,0.0099619200,0.0001233990,0.0099619200
25.329244919450534,tired,adjectives,5,161.0000000000,0.0002856170,0.0100405010,0.0184810962,0.0090908058,0.0371900008,0.0092265419,0.0370493276
22.02393730871361,boots,nouns,5,5.0000000000,0.0000056981,0.0002344175,0.0001931826,0.0002216380,0.0001119909,0.0002355485,0.0001126999
22.5138204419076,jump,verbs,4,225.0000000000,0.0004116870,0.0024652626,0.1017467666,0.0010995520,0.1035958201,0.0015214196,0.1039647507
18.90130739685008,go,verbs,2,5033.0000000000,0.0085592600,0.0796591288,0.2760939534,0.0759404109,0.2860817083,0.0749896754,0.2477852568
28.55677516179845,roof,nouns,4,10.0000000000,0.0000163820,0.0006811930,0.0005034680,0.0004944650,0.0005034680,0.0005500790,0.0005034680
22.755133424496012,pajamas,nouns,7,29.0000000000,0.0000569809,0.0012971916,0.0038154230,0.0007795197,0.0041559492,0.0007870734,0.0041495742
22.40750860442691,blue,adjectives,4,242.0000000000,0.0004266440,0.0016033283,0.0024742049,0.0029473046,0.0096464015,0.0026962206,0.0096702724
30.458500704344534,will,function_words,4,389.0000000000,0.0006638270,0.0053768458,0.0154690487,0.0072647646,0.0207522450,0.0074293216,0.0212561879
23.288179501105482,what,function_words,4,5159.0000000000,0.0071394578,0.0308258634,0.0393778747,0.0354118436,0.0469612764,0.0353314330,0.0409867077
24.902428802690547,hide,verbs,4,30.0000000000,0.0000484337,0.0003856378,0.0004044780,0.0006045168,0.0081250173,0.0006122713,0.0081250425
22.327481929435635,clock,nouns,5,37.0000000000,0.0000569809,0.0010898137,0.0007600110,0.0008848097,0.0005160897,0.0009133737,0.0005160897
22.44054184247302,sun,nouns,3,87.0000000000,0.0001531360,0.0029448422,0.0226212690,0.0036419982,0.0554793585,0.0033432466,0.0555238807
24.793460535475678,applesauce,nouns,10,103.0000000000,0.0001809140,0.0015810691,0.0058599615,0.0018981164,0.0066034907,0.0018799147,0.0066547159
32.765885571716126,above,function_words,5,30.0000000000,0.0000505706,0.0916542269,0.2051519579,0.0858501886,0.3307009316,0.0858499928,0.3307010646
27.68058734696553,new,adjectives,3,183.0000000000,0.0003219420,0.0200732348,0.0255013157,0.0212064123,0.0235857456,0.0212801089,0.0235861146
31.76062717804243,nurse,other,5,3.0000000000,0.0000032846,0.0000091142,0.0000095195,0.0000103650,0.0000086397,0.0000105217,0.0000086306
16.392735198830994,bird,nouns,4,316.0000000000,0.0005527150,0.0343420126,0.1001589749,0.0317073687,0.1288071812,0.0316197133,0.1289421206
26.587239069037533,full,adjectives,4,90.0000000000,0.0001702300,0.0492810748,0.1167045721,0.0779424173,0.2042152232,0.0780813544,0.2042152232
22.436352979404894,leg,nouns,3,134.0000000000,0.0002343340,0.0129926583,0.0056069609,0.0193815769,0.0236721895,0.0194945626,0.0236721059
24.487883754881125,here,function_words,4,5103.0000000000,0.0075412741,0.0740723665,0.1102260824,0.0863461787,0.1320769963,0.0862076555,0.1251344563
23.464415480567926,snack,other,5,53.0000000000,0.0000847590,0.0013345828,0.0074321685,0.0011936854,0.0091216680,0.0012400990,0.0090011553
31.013523399168715,them,function_words,4,1208.0000000000,0.0021168400,0.0339514801,0.0399680533,0.0352411032,0.0602571255,0.0359033159,0.0607435662
24.89116450467848,sink,nouns,4,25.0000000000,0.0000484337,0.0014082654,0.0104135172,0.0008899003,0.0081309938,0.0009283838,0.0080672271
23.789593900562274,pancake,nouns,7,2.0000000000,0.0000042883,0.0000055422,0.0000042611,0.0000052154,0.0000031546,0.0000056061,0.0000031546
31.18697890329747,hers,function_words,4,4.0000000000,,,,,,,
23.966616061439275,sing,verbs,4,185.0000000000,0.0003326260,0.0020707264,0.0409138856,0.0018977301,0.0438138815,0.0019954453,0.0438148342
27.88363875986402,teacher,other,7,15.0000000000,0.0000206556,0.0000335533,0.0000392267,0.0000353040,0.0000392267,0.0000353040,0.0000392267
25.844034454105,wait,other,4,376.0000000000,0.0006830590,0.0236504462,0.0647361523,0.0401664295,0.0903110696,0.0382713120,0.0469395038
21.720774424112147,box,nouns,3,180.0000000000,0.0003198050,0.0099709113,0.0222769819,0.0161370508,0.0319809614,0.0158437579,0.0307180005
22.726826606651578,boy,other,3,1165.0000000000,0.0019843600,0.0805122046,0.1320657464,0.0756199489,0.1337874080,0.0756944119,0.1238367388
25.62387497168784,pickle,nouns,6,3.0000000000,0.0000056981,0.0000065187,0.0000063744,0.0000062953,0.0000045854,0.0000066987,0.0000045854
27.77530019021999,pick,verbs,4,155.0000000000,0.0002642490,0.0014465571,0.0016692039,0.0012905200,0.0062879091,0.0013213401,0.0063206297
23.446832820290197,popcorn,nouns,7,4.0000000000,0.0000078349,0.0000093188,0.0000084770,0.0000087662,0.0000117279,0.0000071713,0.0000259308
25.177079287402247,climb,verbs,5,73.0000000000,0.0001189480,0.0027635627,0.0043896926,0.0027425537,0.0059821373,0.0028970076,0.0062022281
21.822623834649573,pillow,nouns,6,26.0000000000,0.0000377498,0.0004329212,0.0004194909,0.0004547795,0.0095222711,0.0004698460,0.0095241326
25.367851306262303,shovel,nouns,6,2.0000000000,,,,,,,
22.45537159625755,love,verbs,4,374.0000000000,0.0006061340,0.0125554296,0.0138335695,0.0115379395,0.0324428790,0.0114388821,0.0316131610
17.525683952952498,apple,nouns,5,97.0000000000,0.0001659570,0.0012112464,0.0013463158,0.0013542214,0.0013719060,0.0013732493,0.0013402228
16.379871076439304,duck,nouns,4,168.0000000000,0.0002877540,0.0189899104,0.0341394637,0.0210798276,0.0425443826,0.0211132210,0.0425447345
27.36852164536458,pony,nouns,4,4.0000000000,0.0000078349,0.0000350505,0.0000358319,0.0000358155,0.0000358319,0.0000358155,0.0000358319
24.92311851801085,cloud,nouns,5,4.0000000000,,,,,,,
16.326888806099312,eye,nouns,3,169.0000000000,0.0002877540,0.0045527908,0.0141966101,0.0063924130,0.0172851204,0.0060259847,0.0174268755
34.3885003380416,would,function_words,5,324.0000000000,0.0005569880,0.0015085731,0.0023216336,0.0015328266,0.0032531521,0.0015791980,0.0034770426
24.91522733127551,alligator,nouns,9,19.0000000000,0.0000334763,0.1827124387,0.2305311407,0.1296947823,0.1528392567,0.1297074717,0.1528392567
23.76911232025316,sweater,nouns,7,24.0000000000,,,,,,,
21.49736549522233,frog,nouns,4,48.0000000000,0.0000740752,0.0267767860,0.0849974528,0.0336159240,0.1157091516,0.0336200996,0.1157214253
23.948814514400212,throw,verbs,5,378.0000000000,0.0006616910,0.0078366665,0.0110197837,0.0126359542,0.0161778742,0.0117395241,0.0162751596
25.013187373569608,camera,nouns,6,14.0000000000,0.0000227924,0.0001675480,0.0001618152,0.0001446714,0.0002119193,0.0001511407,0.0002148142
25.65344196944211,tape,nouns,4,39.0000000000,0.0000719384,0.0004236708,0.0006134675,0.0004323849,0.0003433417,0.0004387892,0.0003934513
28.738381395878612,today,other,5,307.0000000000,0.0004981839,0.0049170318,0.0564248927,0.0105616225,0.0973115625,0.0105951750,0.0973720820
19.428482323895828,more,function_words,4,1146.0000000000,0.0019672700,0.0952127202,0.1341795587,0.0793707523,0.1442747552,0.0788701153,0.1404927327
24.706111823419825,pencil,nouns,6,14.0000000000,0.0000206556,0.0003574552,0.0117325863,0.0003035232,0.0060377215,0.0003303965,0.0060377215
19.556508453509906,door,nouns,4,294.0000000000,0.0005121160,0.0427055576,0.2545999367,0.0566900842,0.2850359014,0.0568626250,0.2850359014
29.58287238206214,porch,nouns,5,6.0000000000,0.0000099716,0.0002747720,0.0013891000,0.0003956180,0.0007646910,0.0003956180,0.0007646910
26.39794686947841,sister,other,6,43.0000000000,0.0000612545,0.0011210252,0.0203329768,0.0006965190,0.0119907485,0.0007349699,0.0119907485
24.48757597560575,chocolate,nouns,9,9.0000000000,0.0000142452,0.0000394609,0.0000577002,0.0000415840,0.0000470594,0.0000427162,0.0000471664
32.808432269175626,downtown,adjectives,8,1.0000000000,,,,,,,
25.067902723880195,glass,nouns,5,22.0000000000,0.0000377498,0.0001615276,0.0000804578,0.0001933344,0.0000663548,0.0001933344,0.0000663548
