y,word,pos,length,freq,unigram,w1,w1w2,p0w1,p0w1w2,p0p1w1,p0p1w1w2
26.023255228096303,all,function_words,3,4669.0000000000,0.0030426700,0.0179422940,0.0361620184,0.0496760086,0.0726173062,0.0506766910,0.0730020799
22.883170779844534,dance,verbs,5,192.0000000000,0.0001203060,0.0084033470,0.1105614209,0.0236743818,0.1225177897,0.0221751994,0.0822848636
16.924222975382765,ouch,other,4,150.0000000000,0.0000932005,0.0003255658,0.0003319465,0.0011650468,0.0011648078,0.0012014579,0.0011341377
23.729716630460892,yellow,adjectives,6,821.0000000000,0.0005275970,0.0018196523,0.0078266563,0.0038586668,0.0139942954,0.0043330674,0.0108553645
26.18141075170761,penis,nouns,5,4.0000000000,,,,,,,
26.790996306915,windy,adjectives,5,36.0000000000,0.0000225844,0.0000117114,0.0000099597,0.0000338730,0.0000231377,0.0000458063,0.0000371661
30.215734410798937,skate,verbs,5,12.0000000000,0.0000054653,0.0076970700,0.0146743287,0.0124682134,0.1112740847,0.0101198694,0.1112751673
22.375606909077955,sleep,verbs,5,303.0000000000,0.0001923490,0.0056229643,0.0572147246,0.0203705378,0.1121287418,0.0261067040,0.1184903279
26.47929069264927,dish,nouns,4,39.0000000000,0.0000247243,0.0005704140,0.0005352260,0.0006474000,0.0151933000,0.0005553000,0.0151933000
20.229166557598372,chair,nouns,5,745.0000000000,0.0004826590,0.0542312862,0.1067378236,0.0696135181,0.1059336343,0.0662072635,0.0836864264
33.40549267415279,hate,verbs,4,19.0000000000,0.0000125982,0.0009200600,0.0444129000,0.0031359100,0.1431430000,0.0017995100,0.1016270000
17.41795394022616,milk,nouns,4,483.0000000000,0.0003121820,0.0532054909,0.0636629363,0.0546357429,0.0755111272,0.0548830027,0.0737263775
24.593547322405648,hold,verbs,4,995.0000000000,0.0006552750,0.0039350275,0.0061725762,0.0168810913,0.0242192542,0.0247576928,0.0331127590
22.73101362876104,tickle,verbs,6,542.0000000000,0.0003556930,0.2026986021,0.2754844497,0.3067081724,0.3681037898,0.3101862221,0.3127321525
27.22842495335402,to,function_words,2,18572.0000000000,0.0120972000,0.1891228777,0.2989344253,0.3220301884,0.3777519108,0.3212680505,0.3209651352
31.013211762033148,does,verbs,4,1942.0000000000,0.0012480200,0.0170633421,0.0435381767,0.0258841291,0.0510568038,0.0266010694,0.0547990632
