y,word,pos,length,freq,unigram,w1,w1w2,p0w1,p0w1w2,p0p1w1,p0p1w1w2
26.023255228096303,all,function_words,3,2735.0000000000,0.0028364400,0.0189046862,0.0377618312,0.0204324924,0.0560617457,0.0198947233,0.0556325545
22.883170779844534,dance,verbs,5,135.0000000000,0.0001431720,0.0060474735,0.0860601434,0.0110977496,0.1292748148,0.0110054189,0.0835802754
16.924222975382765,ouch,other,4,58.0000000000,0.0000657933,0.0039543067,0.0055940623,0.0076601931,0.0232593391,0.0076727059,0.0233331866
23.729716630460892,yellow,adjectives,6,577.0000000000,0.0005974580,0.0019983711,0.0209161224,0.0013795304,0.0369291529,0.0013807251,0.0369182159
26.18141075170761,penis,nouns,5,4.0000000000,,,,,,,
26.790996306915,windy,adjectives,5,27.0000000000,0.0000320963,0.0001025294,0.0000869171,0.0001052242,0.0018027756,0.0001072865,0.0018066034
30.215734410798937,skate,verbs,5,12.0000000000,0.0000108796,0.0133954187,0.1498381407,0.0063732670,0.1815677333,0.0066932003,0.1813552333
22.375606909077955,sleep,verbs,5,181.0000000000,0.0001868530,0.0064679954,0.0396551043,0.0063417868,0.0385261707,0.0052992765,0.0419149557
26.47929069264927,dish,nouns,4,22.0000000000,0.0000221120,0.0003863880,0.0431576000,0.0001650160,0.0163732000,0.0001359980,0.0163732000
20.229166557598372,chair,nouns,5,442.0000000000,0.0004651660,0.0602977879,0.1115100800,0.0497951661,0.1274480714,0.0511616655,0.1260669748
33.40549267415279,hate,verbs,4,8.0000000000,0.0000083836,0.0005134760,0.1017500000,0.0003386370,0.1217480000,0.0004074940,0.1217480000
17.41795394022616,milk,nouns,4,269.0000000000,0.0002866960,0.0490359219,0.0497453656,0.0459894646,0.0809944828,0.0459900722,0.0813213233
24.593547322405648,hold,verbs,4,461.0000000000,0.0004851340,0.0035376693,0.0052437440,0.0026427730,0.0123339148,0.0028989068,0.0123589451
22.73101362876104,tickle,verbs,6,191.0000000000,0.0001818610,0.2000486082,0.2975674288,0.1726901160,0.3493489275,0.1726037686,0.3071307779
27.22842495335402,to,function_words,2,13163.0000000000,0.0137493000,0.2041646957,0.3229893246,0.2069456398,0.3550263307,0.1974654637,0.3234527193
31.013211762033148,does,verbs,4,1442.0000000000,0.0015085300,0.0193399676,0.0471862434,0.0199357903,0.0685156077,0.0191036020,0.0673723270
29.89980121135788,those,function_words,5,1200.0000000000,0.0012426900,0.0138300601,0.0262375717,0.0155348063,0.0486825964,0.0162814716,0.0510066089
26.320329733330965,under,function_words,5,334.0000000000,0.0003553380,0.0062468418,0.0317444177,0.0059097554,0.0466995757,0.0059766709,0.0472775486
27.392785061180852,melon,nouns,5,6.0000000000,,,,,,,
26.353412962088083,smile,verbs,5,31.0000000000,0.0000333443,0.0007252928,0.0009666906,0.0014232141,0.0587153895,0.0014283505,0.0587293283
26.4364432376507,brown,adjectives,5,277.0000000000,0.0002866960,0.0251706182,0.0473540972,0.0236759830,0.0651943844,0.0239097961,0.0651960856
28.36408287853539,garden,nouns,6,75.0000000000,0.0000832658,0.0016085700,0.0015743300,0.0006276980,0.0034898300,0.0006435630,0.0034898300
19.903709202066764,blanket,nouns,7,49.0000000000,0.0000533130,0.0007272480,0.0006191579,0.0006560944,0.0103176500,0.0006643899,0.0103130990
17.26248834984024,kitty,nouns,5,295.0000000000,0.0002946501,0.0016353073,0.0028870455,0.0015230552,0.0060658001,0.0014895497,0.0061258690
18.675097278024364,peekaboo,other,8,83.0000000000,0.0000820178,0.0003820842,0.0004279446,0.0001460793,0.0005462302,0.0001549083,0.0006226423
19.471977672255708,spoon,nouns,5,193.0000000000,0.0001980860,0.0041618504,0.0069178668,0.0033885637,0.0072066765,0.0033633559,0.0072062874
32.15239116807415,every,function_words,5,130.0000000000,0.0001331870,0.0004604508,0.0021582407,0.0005964959,0.0128759127,0.0006091815,0.0129514090
22.87169478293961,fall,verbs,4,174.0000000000,0.0001806130,0.0015116172,0.0067240080,0.0020107790,0.0223338530,0.0020955410,0.0224413461
24.62698132789379,cook,verbs,4,77.0000000000,0.0000807698,0.0012061137,0.0004700764,0.0006763276,0.0003697846,0.0006572230,0.0004251417
17.56769342888419,bubbles,nouns,7,258.0000000000,0.0002579910,0.0431100781,0.0783178045,0.0470720859,0.1079032778,0.0472895601,0.1079392538
25.265521045418033,wipe,verbs,4,93.0000000000,0.0000969942,0.0003134181,0.0004392299,0.0004066063,0.0084628480,0.0004183168,0.0095936124
23.118764227018126,school,nouns,6,414.0000000000,0.0004177410,0.0145706146,0.0414628319,0.0125507566,0.0828251885,0.0125697800,0.0822313521
28.522976500646106,tricycle,nouns,8,13.0000000000,0.0000158718,0.0002954010,0.0004166320,0.0001574310,0.0170218000,0.0001622670,0.0191139000
29.47218118439899,tear,verbs,4,23.0000000000,0.0000246081,0.0001390528,0.0001778503,0.0001414274,0.0741572417,0.0001405348,0.0741686692
21.762738949944726,button,nouns,6,141.0000000000,0.0001406760,0.0822506232,0.2667469896,0.1392294967,0.3423299878,0.1402272684,0.3401383244
26.478081710313287,brother,other,7,81.0000000000,0.0000857620,0.0026065613,0.0640950272,0.0016533517,0.1410442071,0.0016060420,0.1410469412
26.464930025372052,gum,nouns,3,17.0000000000,0.0000183679,0.0001466860,0.0000839096,0.0002070660,0.0000665568,0.0002123000,0.0000665568
32.081031283875184,woods,nouns,5,27.0000000000,,,,,,,
26.814435313116693,radio,nouns,5,29.0000000000,0.0000283522,0.0002693255,0.0001885446,0.0002583677,0.0013132565,0.0002637700,0.0012393310
27.173342264726077,sidewalk,nouns,8,11.0000000000,0.0000133757,0.0003801750,0.0001154772,0.0008601750,0.0001440120,0.0007336205,0.0001543305
21.119821482393764,bicycle,nouns,7,38.0000000000,0.0000433286,0.0006187330,0.0005242390,0.0027362300,0.0003719500,0.0022615900,0.0003473740
25.329244919450534,tired,adjectives,5,166.0000000000,0.0001681330,0.0036468600,0.0149956977,0.0062396979,0.0473257328,0.0058555471,0.0475037662
22.02393730871361,boots,nouns,5,71.0000000000,0.0000732816,0.0001306133,0.0000790632,0.0001719702,0.0001643420,0.0001789152,0.0001846014
22.5138204419076,jump,verbs,4,128.0000000000,0.0001381800,0.0001979935,0.0001397150,0.0000911725,0.0000825764,0.0000940889,0.0001249130
18.90130739685008,go,verbs,2,4591.0000000000,0.0048195800,0.0420664637,0.2249702978,0.0429905173,0.2175522306,0.0424873188,0.1622066977
28.55677516179845,roof,nouns,4,39.0000000000,0.0000433286,0.0006260920,0.0007030640,0.0005599900,0.2899190000,0.0006106610,0.2899190000
22.755133424496012,pajamas,nouns,7,83.0000000000,0.0000870100,0.0008276197,0.0005811387,0.0007918455,0.0010269737,0.0008099940,0.0010251182
22.40750860442691,blue,adjectives,4,830.0000000000,0.0008582980,0.0122853927,0.0368509280,0.0122396314,0.0546950320,0.0121179962,0.0557273039
30.458500704344534,will,function_words,4,904.0000000000,0.0009593900,0.0153905432,0.0231802458,0.0141767641,0.0721320172,0.0146559276,0.0717462084
23.288179501105482,what,function_words,4,8781.0000000000,0.0076084673,0.0378567047,0.0515449848,0.0376225119,0.0574175326,0.0356718594,0.0529710874
24.902428802690547,hide,verbs,4,79.0000000000,0.0000682893,0.0009315259,0.0099752942,0.0012664928,0.0046036359,0.0012820643,0.0046863677
22.327481929435635,clock,nouns,5,64.0000000000,0.0000732816,0.0007352570,0.0004625480,0.0003106207,0.0011319940,0.0003129867,0.0010839817
22.44054184247302,sun,nouns,3,268.0000000000,0.0002742160,0.0068057616,0.0422162141,0.0060743056,0.0251154857,0.0059382156,0.0240104906
24.793460535475678,applesauce,nouns,10,7.0000000000,0.0000071355,0.0000214382,0.0000226853,0.0000204932,0.0000206428,0.0000210440,0.0000212690
32.765885571716126,above,function_words,5,52.0000000000,0.0000533130,0.0013699622,0.0012868813,0.0016609776,0.0383923864,0.0016884593,0.0384113270
27.68058734696553,new,adjectives,3,669.0000000000,0.0007085330,0.0278962704,0.0467369939,0.0274413870,0.0660682875,0.0272184521,0.0665071539
31.76062717804243,nurse,other,5,94.0000000000,0.0001007380,0.0019687430,0.0022482921,0.0021254627,0.0225351732,0.0021326975,0.0225301893
16.392735198830994,bird,nouns,4,419.0000000000,0.0004514380,0.0257783437,0.0707672812,0.0283869409,0.0985756577,0.0280688290,0.0888399234
26.587239069037533,full,adjectives,4,118.0000000000,0.0001232030,0.0109057236,0.0041109717,0.0054655349,0.0590089233,0.0055850775,0.0595628038
22.436352979404894,leg,nouns,3,65.0000000000,0.0000670414,0.0019891481,0.0009697805,0.0028190541,0.0224139915,0.0028911837,0.0224136471
24.487883754881125,here,function_words,4,4585.0000000000,0.0042311395,0.0564449769,0.0977891776,0.0597382266,0.1171154052,0.0602292839,0.1025923031
23.464415480567926,snack,other,5,99.0000000000,0.0001094750,0.0012372912,0.0060097432,0.0007882744,0.0059598370,0.0008273327,0.0056357150
31.013523399168715,them,function_words,4,1821.0000000000,0.0018954200,0.0382133024,0.0623917339,0.0402735132,0.0897655817,0.0431927280,0.0902995498
24.89116450467848,sink,nouns,4,42.0000000000,0.0000458247,0.0006566007,0.0024912770,0.0019381274,0.0030346700,0.0016044732,0.0033279733
23.789593900562274,pancake,nouns,7,30.0000000000,0.0000283522,0.0006197960,0.0003843330,0.0004292440,0.0039149600,0.0004483560,0.0039149600
31.18697890329747,hers,function_words,4,18.0000000000,,,,,,,
23.966616061439275,sing,verbs,4,275.0000000000,0.0002904400,0.0019230724,0.0053491651,0.0018968097,0.0140578541,0.0018702086,0.0147946922
27.88363875986402,teacher,other,7,60.0000000000,0.0000632973,0.0008021100,0.0009294140,0.0008776010,0.2900800000,0.0008776010,0.2900800000
25.844034454105,wait,other,4,458.0000000000,0.0004788950,0.0170605522,0.0564000229,0.0192909269,0.0797895606,0.0195993985,0.0812473191
21.720774424112147,box,nouns,3,521.0000000000,0.0005338080,0.0106554454,0.0352164318,0.0085201499,0.0387632664,0.0093363695,0.0388963856
22.726826606651578,boy,other,3,571.0000000000,0.0005862260,0.0188827766,0.0334808603,0.0317985217,0.0538887345,0.0294905803,0.0549972972
25.62387497168784,pickle,nouns,6,15.0000000000,0.0000183679,0.0000647297,0.0001034640,0.0000473974,0.0153203000,0.0000432175,0.0153203000
27.77530019021999,pick,verbs,4,413.0000000000,0.0004352130,0.0021276888,0.0053000821,0.0019176758,0.0085237752,0.0019710515,0.0085314879
23.446832820290197,popcorn,nouns,7,27.0000000000,0.0000246081,0.0000219821,0.0000204998,0.0000071224,0.0000075719,0.0000058149,0.0000246302
25.177079287402247,climb,verbs,5,88.0000000000,0.0000982424,0.0017769749,0.0034982056,0.0047907537,0.0057281194,0.0027633646,0.0052367709
21.822623834649573,pillow,nouns,6,64.0000000000,0.0000695375,0.0004634758,0.0019472330,0.0005002247,0.0029477709,0.0005138902,0.0028183913
25.367851306262303,shovel,nouns,6,63.0000000000,,,,,,,
22.45537159625755,love,verbs,4,529.0000000000,0.0005525290,0.0086925809,0.0342939761,0.0091101122,0.0542892231,0.0092077801,0.0554854766
17.525683952952498,apple,nouns,5,324.0000000000,0.0003428580,0.0065394218,0.0150167398,0.0088720977,0.0184251795,0.0085027338,0.0183910641
16.379871076439304,duck,nouns,4,281.0000000000,0.0003004250,0.0052301234,0.0148304685,0.0074076941,0.0169047286,0.0075654708,0.0168483690
27.36852164536458,pony,nouns,4,32.0000000000,0.0000308483,0.1205496500,0.2306760000,0.1272828000,0.2886390000,0.1272828000,0.2886390000
24.92311851801085,cloud,nouns,5,42.0000000000,,,,,,,
16.326888806099312,eye,nouns,3,115.0000000000,0.0001207070,0.0024732525,0.0028385537,0.0037440157,0.0407239255,0.0037128248,0.0407059564
34.3885003380416,would,function_words,5,1744.0000000000,0.0017863450,0.0102342796,0.0165740592,0.0114814438,0.0366892810,0.0114847391,0.0387555716
24.91522733127551,alligator,nouns,9,44.0000000000,0.0000408326,0.1642596913,0.2198475627,0.1279885647,0.1487214473,0.1278969670,0.1486856013
23.76911232025316,sweater,nouns,7,32.0000000000,,,,,,,
21.49736549522233,frog,nouns,4,120.0000000000,0.0001207070,0.0092068623,0.0254337964,0.0093313456,0.0536761716,0.0094155989,0.0537609422
23.948814514400212,throw,verbs,5,274.0000000000,0.0002842000,0.0043004785,0.0111377626,0.0070480279,0.0176101084,0.0101975753,0.0210264138
25.013187373569608,camera,nouns,6,305.0000000000,0.0003253850,0.0043513976,0.0094504607,0.0059049221,0.0120994019,0.0057624053,0.0113940143
25.65344196944211,tape,nouns,4,162.0000000000,0.0001706290,0.0044795153,0.0068424933,0.0056499081,0.0515587998,0.0056763660,0.0515235313
28.738381395878612,today,other,5,619.0000000000,0.0005926156,0.0052708751,0.0200243369,0.0088346899,0.0393732923,0.0089174072,0.0397718033
19.428482323895828,more,function_words,4,1497.0000000000,0.0015771700,0.0462133720,0.0869190445,0.0344836882,0.0932201041,0.0338348548,0.0920584237
24.706111823419825,pencil,nouns,6,47.0000000000,0.0000520649,0.0004318927,0.0003940020,0.0003516341,0.0020929727,0.0003699029,0.0021152160
19.556508453509906,door,nouns,4,258.0000000000,0.0002754640,0.0094932206,0.1673764529,0.0159148654,0.1925940638,0.0155947334,0.1721000472
29.58287238206214,porch,nouns,5,6.0000000000,0.0000071355,0.0000387554,0.0000194827,0.0000359736,0.0002235380,0.0000299446,0.0002089090
26.39794686947841,sister,other,6,69.0000000000,0.0000682893,0.0073455380,0.1040965436,0.0063587647,0.0539155411,0.0063730864,0.0537983293
24.48757597560575,chocolate,nouns,9,207.0000000000,0.0002242940,0.0051184714,0.0063113932,0.0059188549,0.0951834520,0.0059146653,0.0951299069
32.808432269175626,downtown,adjectives,8,2.0000000000,,,,,,,
25.067902723880195,glass,nouns,5,62.0000000000,0.0000645454,0.0086925075,0.0074900508,0.0106888012,0.0221020165,0.0109603058,0.0214883662
25.83051392177666,flag,nouns,4,17.0000000000,0.0000183679,0.0002792809,0.0003989066,0.0002798586,0.0015489395,0.0002994286,0.0015316587
20.488272344232627,train,nouns,5,504.0000000000,0.0005188310,0.0063110769,0.0446922088,0.0057099308,0.0514899137,0.0058058365,0.0519832200
23.901345861341266,stick,nouns,5,180.0000000000,0.0001806130,0.0005195562,0.0005808747,0.0005029829,0.0302199952,0.0005219652,0.0301611694
15.019084588189196,baby,other,4,1552.0000000000,0.0015087668,0.0058013495,0.0184805758,0.0065282435,0.0321632716,0.0062990504,0.0334109260
26.821811157563086,hurry,verbs,5,72.0000000000,0.0000757776,0.0002716727,0.0191478163,0.0002155490,0.0239297429,0.0002137758,0.0240280475
21.505416378754934,me,function_words,2,3432.0000000000,0.0035640500,0.2254918488,0.2821941074,0.1570114289,0.2973177504,0.1558272342,0.2741466042
30.534055796314703,none,function_words,4,34.0000000000,0.0000370885,0.0034034977,0.1426887195,0.0027093160,0.1788399058,0.0027774587,0.1787679182
24.210039851776514,room,nouns,4,424.0000000000,0.0004339650,0.1362724346,0.1750674715,0.1339539437,0.2083338410,0.1330396077,0.1671298799
24.05341604315987,this,function_words,4,7356.0000000000,0.0076750800,0.0423828583,0.0702794415,0.0421863208,0.0807172376,0.0411127337,0.0791635473
16.548125917079386,car,nouns,3,666.0000000000,0.0007023272,0.0071847246,0.0307361224,0.0057155154,0.0455739375,0.0057780490,0.0457142763
23.647740156962104,ride,verbs,4,174.0000000000,0.0001743730,0.0209441417,0.0674518925,0.0364982781,0.0601734463,0.0365042183,0.0604462940
30.118282727187637,pretend,verbs,7,136.0000000000,0.0001419240,0.0005101271,0.0011476455,0.0003610258,0.0022080143,0.0004245659,0.0022136704
27.519876353886772,pour,verbs,4,86.0000000000,0.0000932502,0.1305850394,0.4785831131,0.0904784630,0.5236738679,0.0912744649,0.5236969319
17.183862302477472,cat,nouns,3,586.0000000000,0.0005718256,0.1788348117,0.1962135912,0.1357830486,0.2089439641,0.1370281907,0.2036252635
24.16635781549996,my,function_words,2,2658.0000000000,0.0027877600,0.0278163173,0.0497759363,0.0256778675,0.0760482679,0.0247892808,0.0729556639
24.394843426710032,hamburger,nouns,9,11.0000000000,0.0000108796,0.0000478427,0.0000478427,0.0000478427,0.0000478427,0.0000478427,0.0000478427
25.34906550261934,thirsty,adjectives,7,55.0000000000,0.0000558091,0.0001289941,0.0005798661,0.0000773879,0.0004931659,0.0000908914,0.0004187405
25.256476722865266,give,verbs,4,725.0000000000,0.0007609510,0.0100481185,0.0182527520,0.0089454547,0.0228788544,0.0088571621,0.0211666453
