y,word,pos,length,freq,unigram,w1,w1w2,p0w1,p0w1w2,p0p1w1,p0p1w1w2
26.023255228096303,all,quantifiers,3,2735.0000000000,0.0028287100,0.0122728172,0.0267446853,0.0698961419,0.0594916653,0.0697832876,0.0605957511
22.883170779844527,dance,action_words,5,135.0000000000,0.0001405190,0.0400300254,0.0818711474,0.0401324184,0.0877543146,0.0400241192,0.0820491347
16.924222975382765,ouch,sounds,4,58.0000000000,0.0000594366,0.0001779518,0.0001880383,0.0011251940,0.0011624439,0.0013850440,0.0014298412
23.729716630460892,yellow,descriptive_words,6,577.0000000000,0.0006058080,0.0018580367,0.0188010902,0.0045600716,0.0288691459,0.0067786157,0.0334816401
26.18141075170761,penis,body_parts,5,4.0000000000,,,,,,,
26.790996306914998,windy,descriptive_words,5,27.0000000000,0.0000270037,0.0002068556,0.0002915162,0.0001670100,0.0034789539,0.0001651365,0.0034789539
30.215734410798937,skate,action_words,5,12.0000000000,0.0000132820,0.0195006000,0.0367628000,0.0121793000,0.3179070000,0.0134374000,0.3179070000
22.375606909077952,sleep,action_words,5,181.0000000000,0.0001904160,0.0039954866,0.0082790689,0.0259948559,0.0359156835,0.0251110004,0.0359019754
26.479290692649272,dish,household,4,22.0000000000,0.0000220140,0.0003855410,0.0020531473,0.0003250290,0.0079604110,0.0003349533,0.0079348733
20.22916655759837,chair,furniture_rooms,5,442.0000000000,0.0004573640,0.1024574808,0.1650353375,0.1407776096,0.1941608714,0.1409940465,0.1702702614
33.40549267415279,hate,action_words,4,8.0000000000,,,,,,,
17.41795394022616,milk,food_drink,4,269.0000000000,0.0002877150,0.0214131421,0.0182280509,0.0267934773,0.0632567550,0.0265198674,0.0633049640
24.59354732240565,hold,action_words,4,461.0000000000,0.0004798190,0.0029484771,0.0052246537,0.0306054493,0.0287455384,0.0332465796,0.0416552563
22.731013628761037,tickle,action_words,6,191.0000000000,0.0001829310,0.2845581230,0.3703254431,0.3270749849,0.5106207263,0.3263411679,0.4428986191
27.22842495335402,to,locations,2,13163.0000000000,0.0137499000,0.1864273488,0.2952398436,0.2987940185,0.3480278868,0.2998924335,0.3130162056
31.013211762033148,does,helping_verbs,4,1442.0000000000,0.0014989600,0.0160608072,0.0293373262,0.0209171781,0.0345881991,0.0215050454,0.0365219264
29.89980121135788,those,pronouns,5,1200.0000000000,0.0012706900,0.0073604737,0.0189356921,0.0150009086,0.0243485668,0.0184252603,0.0253567156
26.320329733330965,under,locations,5,334.0000000000,0.0003525810,0.0060326445,0.0303287873,0.0098539308,0.0479441871,0.0122053869,0.0487957802
27.392785061180852,melon,food_drink,5,6.0000000000,,,,,,,
26.353412962088083,smile,action_words,5,31.0000000000,0.0000307460,0.0001257997,0.0001391316,0.0001336589,0.0001785720,0.0001397008,0.0002175574
26.4364432376507,brown,descriptive_words,5,277.0000000000,0.0002976950,0.0346002534,0.0615206582,0.0421994591,0.0743310923,0.0417842673,0.0743539229
28.36408287853539,garden,outside,6,75.0000000000,0.0000806429,0.0333530307,0.0681635909,0.0330824318,0.0970159637,0.0330846419,0.0970545267
19.903709202066764,blanket,household,7,49.0000000000,0.0000531995,0.0003803160,0.0004316594,0.0003523485,0.0069701115,0.0003562030,0.0069641367
17.26248834984024,kitty,animals,5,295.0000000000,0.0003026840,0.0027718528,0.0584835004,0.0420828605,0.0826178799,0.0517564115,0.1010775103
18.675097278024364,peekaboo,games_routines,8,83.0000000000,0.0000893747,0.0004504590,0.0004648060,0.0128995610,0.0130198116,0.0133293236,0.0134585564
19.471977672255708,spoon,household,5,193.0000000000,0.0002091270,0.0026772470,0.0068258042,0.0048240140,0.0156123286,0.0047573166,0.0167289594
32.15239116807415,every,quantifiers,5,130.0000000000,0.0001380240,0.0001963456,0.0002021671,0.0002908380,0.0006030856,0.0003074462,0.0006424606
22.871694782939613,fall,action_words,4,174.0000000000,0.0001891690,0.0010197000,0.0603043180,0.0113023879,0.0626017614,0.0102162907,0.0330393835
24.626981327893787,cook,action_words,4,77.0000000000,0.0000831377,0.0004135654,0.0006080623,0.0002900333,0.0028918614,0.0002821735,0.0028977909
17.56769342888419,bubbles,toys,7,258.0000000000,0.0002777360,0.0034015737,0.0358607180,0.0134033025,0.0455806981,0.0120843088,0.0456259359
25.265521045418033,wipe,action_words,4,93.0000000000,0.0001068390,0.0002905755,0.0003477118,0.0004427543,0.0005617440,0.0004584212,0.0006440315
23.118764227018126,school,places,6,414.0000000000,0.0004349110,0.0063736127,0.0387737475,0.0245033016,0.0351655967,0.0237729911,0.0310408597
28.522976500646102,tricycle,vehicles,8,13.0000000000,0.0000107872,0.0000492294,0.0000795990,0.0000559283,0.0000722210,0.0000581595,0.0000722210
29.47218118439899,tear,action_words,4,23.0000000000,0.0000232614,0.0012010249,0.0692556058,0.0011228663,0.0352916325,0.0011242568,0.0353273307
21.762738949944726,button,clothing,6,141.0000000000,0.0001504980,0.0539033528,0.0959953532,0.0993794646,0.1398155458,0.0993831392,0.1316678809
26.478081710313294,brother,people,7,81.0000000000,0.0000752456,0.0040548894,0.1171367866,0.0074840613,0.1505629146,0.0072179814,0.1505633455
26.464930025372052,gum,food_drink,3,17.0000000000,0.0000170243,0.0000615091,0.0825403956,0.0000627763,0.0397888708,0.0000650188,0.0397888708
32.081031283875184,woods,places,5,27.0000000000,0.0000294985,0.0007016360,0.0037833600,0.0006153170,0.0017350600,0.0006381430,0.0016515800
26.814435313116693,radio,household,5,29.0000000000,0.0000294985,0.0003123719,0.0002515596,0.0004837092,0.0093006288,0.0004133239,0.0092975261
27.173342264726074,sidewalk,outside,8,11.0000000000,0.0000120346,0.0003395780,0.0001845770,0.0014284600,0.0001184030,0.0012693600,0.0001170100
21.119821482393764,bicycle,vehicles,7,38.0000000000,0.0000394779,0.0000121692,0.0000154493,0.0000165164,0.0000138222,0.0000159971,0.0000188841
25.329244919450538,tired,descriptive_words,5,166.0000000000,0.0001729520,0.0082525172,0.0159582893,0.0086121439,0.0344608512,0.0083927113,0.0247001719
22.023937308713606,boots,clothing,5,71.0000000000,0.0000769007,0.0001201630,0.0937845188,0.0002023854,0.1657128103,0.0002229630,0.1657587805
22.5138204419076,jump,action_words,4,128.0000000000,0.0001342820,0.0002880023,0.0001976505,0.0002335612,0.0001259392,0.0002255832,0.0001305119
18.901307396850076,go,action_words,2,4591.0000000000,0.0047397700,0.0442380725,0.2100054360,0.0784459701,0.2314786045,0.0783265590,0.1862994349
28.556775161798452,roof,outside,4,39.0000000000,0.0000432201,0.0004744601,0.0005390293,0.0017262086,0.0006854562,0.0015759586,0.0006951014
22.755133424496012,pajamas,clothing,7,83.0000000000,0.0000806429,0.0003925212,0.0002912468,0.0003879259,0.0009033667,0.0003788421,0.0009042538
22.40750860442691,blue,descriptive_words,4,830.0000000000,0.0008387414,0.0078296601,0.0210678571,0.0130931750,0.0374247097,0.0140975823,0.0338215042
30.458500704344537,will,helping_verbs,4,904.0000000000,0.0009438590,0.0070936768,0.0148027754,0.0281155941,0.0257706065,0.0263429068,0.0300474118
23.288179501105482,what,question_words,4,8781.0000000000,0.0075353729,0.0404895234,0.0562577111,0.0680712322,0.0819909367,0.0680402867,0.0791786281
24.902428802690547,hide,action_words,4,79.0000000000,0.0000831377,0.0009037052,0.0007183034,0.0068068676,0.0018566552,0.0059757254,0.0018566552
22.327481929435635,clock,household,5,64.0000000000,0.0000619316,0.0081942535,0.0127840443,0.0208301088,0.0134424741,0.0207098900,0.0141663290
22.44054184247302,sun,outside,3,268.0000000000,0.0002702510,0.0045797396,0.0076297106,0.0067949378,0.0132437364,0.0066987329,0.0130560550
24.793460535475678,applesauce,food_drink,10,7.0000000000,0.0000057975,0.0000073844,0.0000094258,0.0000087043,0.0000074306,0.0000088438,0.0000074306
32.76588557171613,above,locations,5,52.0000000000,0.0000469625,0.0000415982,0.0000404217,0.0000287248,0.0000289826,0.0000255288,0.0000508630
27.680587346965527,new,descriptive_words,3,669.0000000000,0.0007031060,0.0613691960,0.0732689231,0.0841430593,0.0841263968,0.0833078796,0.0789514843
31.76062717804243,nurse,people,5,94.0000000000,0.0000931170,0.0008270545,0.0011949154,0.0010792361,0.0019911097,0.0010937608,0.0019677846
16.392735198830994,bird,animals,4,419.0000000000,0.0004205118,0.0153027635,0.0497616849,0.0144255700,0.0464243231,0.0143112182,0.0463017703
26.587239069037533,full,descriptive_words,4,118.0000000000,0.0001292920,0.0165372626,0.0021533884,0.0191931468,0.0425565673,0.0177730422,0.0552875673
22.436352979404894,leg,body_parts,3,65.0000000000,0.0000694161,0.0053872827,0.0033804842,0.0088159978,0.0080001212,0.0088675604,0.0081186267
24.487883754881125,here,locations,4,4585.0000000000,0.0040437839,0.0619686720,0.0857170694,0.0836182409,0.0994121552,0.0846791228,0.0940953584
23.464415480567933,snack,games_routines,5,99.0000000000,0.0001030960,0.0012380561,0.0431069844,0.0100731616,0.0306788303,0.0085597299,0.0174795005
31.013523399168715,them,pronouns,4,1821.0000000000,0.0018819200,0.0304539139,0.0534431956,0.0537916229,0.0784186492,0.0537072353,0.0747512646
24.89116450467848,sink,furniture_rooms,4,42.0000000000,0.0000457150,0.0009052160,0.0063103000,0.0017263900,0.0029284000,0.0015682700,0.0030189300
23.789593900562274,pancake,food_drink,7,30.0000000000,0.0000307460,0.0005072230,0.0003772170,0.0004786740,0.0002737250,0.0004941470,0.0002737250
31.18697890329747,hers,pronouns,4,18.0000000000,0.0000195192,0.0000145544,0.0000056233,0.0000141084,0.0000022908,0.0000143940,0.0000029295
23.966616061439275,sing,action_words,4,275.0000000000,0.0002889620,0.0049022516,0.0083815778,0.0053487633,0.0092657026,0.0051308069,0.0098052783
27.88363875986402,teacher,people,7,60.0000000000,0.0000524200,0.0040306381,0.0065328551,0.0129089278,0.0537497568,0.0111656707,0.0553395509
25.844034454105,wait,action_words,4,458.0000000000,0.0004873030,0.0158054058,0.0290543062,0.0165675749,0.0332285231,0.0167363907,0.0333631945
21.720774424112147,box,household,3,521.0000000000,0.0005559110,0.0093800882,0.0543594337,0.0729223281,0.0949988226,0.0748992169,0.0489277167
22.72682660665158,boy,people,3,571.0000000000,0.0006095490,0.0147293553,0.0200866422,0.0332113380,0.0478349295,0.0339295262,0.0500886874
25.62387497168784,pickle,food_drink,6,15.0000000000,0.0000107872,0.0086307124,0.0073089394,0.0541651589,0.0865074949,0.0470612985,0.0865072473
27.77530019021999,pick,action_words,4,413.0000000000,0.0004423960,0.0038375570,0.0067112823,0.0090808248,0.0129769498,0.0091276293,0.0130832090
23.4468328202902,popcorn,food_drink,7,27.0000000000,0.0000294985,0.0001375475,0.0001546505,0.0001122107,0.0001197695,0.0000963542,0.0001197695
25.177079287402254,climb,action_words,5,88.0000000000,0.0000906223,0.0021381600,0.0021866006,0.0023952880,0.0046644616,0.0023869740,0.0045610542
21.822623834649573,pillow,household,6,64.0000000000,0.0000619316,0.0061539027,0.0084032537,0.0302378386,0.0272549927,0.0268651630,0.0220511376
25.367851306262306,shovel,outside,6,63.0000000000,0.0000631789,0.0085594947,0.0341628818,0.0107984006,0.0204675711,0.0108073750,0.0203535432
22.455371596257542,love,action_words,4,529.0000000000,0.0005396940,0.0079095899,0.0131371788,0.0125341633,0.0200457408,0.0121617689,0.0160054921
17.5256839529525,apple,food_drink,5,324.0000000000,0.0003313740,0.0312321020,0.0479025656,0.0389750771,0.0600940213,0.0388690814,0.0612316518
16.379871076439304,duck,animals,4,281.0000000000,0.0002951990,0.0048170992,0.0142612630,0.0454440612,0.0380152222,0.0399919300,0.0353307460
27.36852164536458,pony,animals,4,32.0000000000,0.0000332408,0.0237425216,0.0157253720,0.0288273738,0.0136647326,0.0288273738,0.0136647326
24.923118518010853,cloud,outside,5,42.0000000000,0.0000432201,0.0003335462,0.0004382970,0.0002996425,0.0004074340,0.0003088744,0.0004074340
16.326888806099312,eye,body_parts,3,115.0000000000,0.0001168180,0.0010205259,0.0011486853,0.0008701183,0.0013057866,0.0009054194,0.0013047508
34.3885003380416,would,helping_verbs,5,1744.0000000000,0.0017958500,0.0047815264,0.0082553520,0.0098831382,0.0124354673,0.0104921596,0.0120263190
24.91522733127551,alligator,animals,9,44.0000000000,,,,,,,
23.769112320253164,sweater,clothing,7,32.0000000000,0.0000357356,0.0000242067,0.0000264932,0.0000219575,0.0000194136,0.0000210234,0.0000194136
21.497365495222333,frog,animals,4,120.0000000000,0.0001230550,0.0124201071,0.0272593307,0.0186492388,0.0582044171,0.0178270261,0.0234820385
23.948814514400215,throw,action_words,5,274.0000000000,0.0002702510,0.0033025403,0.0091720639,0.0038879604,0.0119794523,0.0038563365,0.0117191951
25.013187373569615,camera,household,6,305.0000000000,0.0002975646,0.0037128944,0.0266125818,0.0062964182,0.0299718377,0.0070784456,0.0299361354
25.65344196944211,tape,household,4,162.0000000000,0.0001717050,0.0235503205,0.0480261270,0.0273989480,0.0351766163,0.0272735244,0.0363976919
28.738381395878612,today,time_words,5,619.0000000000,0.0006257660,0.0055526981,0.0078816110,0.0118364142,0.0222406902,0.0113365981,0.0221707016
19.428482323895828,more,quantifiers,4,1497.0000000000,0.0015650700,0.0266172062,0.0484623641,0.1041779877,0.0742531672,0.1001001350,0.0653657782
24.706111823419825,pencil,toys,6,47.0000000000,0.0000531995,0.0001223469,0.0000622426,0.0001196878,0.0001316671,0.0001159003,0.0001445486
19.556508453509903,door,furniture_rooms,4,258.0000000000,0.0002714990,0.0041975075,0.1377745354,0.0057801246,0.1415483545,0.0056569409,0.1412773524
29.58287238206214,porch,furniture_rooms,5,6.0000000000,,,,,,,
26.39794686947841,sister,people,6,69.0000000000,0.0000719108,0.0138218723,0.1413337208,0.0200425872,0.1536433197,0.0191997823,0.1369131149
24.48757597560575,chocolate,food_drink,9,207.0000000000,0.0002240960,0.0009007497,0.0023931725,0.0010623614,0.0049022677,0.0010454215,0.0048049616
32.808432269175626,downtown,places,8,2.0000000000,,,,,,,
25.067902723880195,glass,household,5,62.0000000000,0.0000669211,0.2777377664,0.2192486709,0.2937255057,0.2512361371,0.2937273669,0.2512360649
25.83051392177666,flag,outside,4,17.0000000000,0.0000170243,0.0000260672,0.0000327783,0.0000213139,0.0000297929,0.0000223197,0.0000297929
20.488272344232627,train,vehicles,5,504.0000000000,0.0005126022,0.0062877107,0.0108772034,0.0243355100,0.0240365384,0.0238044350,0.0227022471
23.901345861341266,stick,outside,5,180.0000000000,0.0001866740,0.0057093000,0.0053670457,0.0319293665,0.0089316804,0.0278827209,0.0089847883
15.019084588189198,baby,people,4,1552.0000000000,0.0014997606,0.0088340191,0.0177181290,0.0326385581,0.0365770822,0.0326252114,0.0318741195
26.821811157563083,hurry,action_words,5,72.0000000000,0.0000756532,0.0001420118,0.0001475670,0.0002893499,0.0002174344,0.0003276590,0.0003146808
21.505416378754934,me,pronouns,2,3432.0000000000,0.0035921400,0.2725645859,0.3174208701,0.3326990210,0.3695670005,0.3352707772,0.3404541299
30.534055796314703,none,quantifiers,4,34.0000000000,0.0000382305,0.0058586600,0.0017235200,0.0060930800,0.1471580000,0.0063086800,0.1471580000
24.210039851776514,room,furniture_rooms,4,424.0000000000,0.0004324160,0.1811666427,0.2304269572,0.1900634757,0.2606099958,0.1912410484,0.2079450309
24.05341604315987,this,pronouns,4,7356.0000000000,0.0077265768,0.0446636482,0.0655168652,0.0972796642,0.0971309198,0.0948557813,0.0919017830
16.548125917079386,car,vehicles,3,666.0000000000,0.0006739126,0.0319930356,0.0436336634,0.0453337198,0.0703970812,0.0446943874,0.0831452672
23.6477401569621,ride,action_words,4,174.0000000000,0.0001642200,0.0090284292,0.0215974417,0.0173374809,0.0378810352,0.0170673932,0.0377976935
30.11828272718764,pretend,action_words,7,136.0000000000,0.0001405190,0.0021998766,0.0018740433,0.0023555439,0.0025516251,0.0022947062,0.0024816294
27.519876353886772,pour,action_words,4,86.0000000000,0.0000956119,0.0003339418,0.0002781634,0.0003716550,0.0002097879,0.0003932851,0.0002214513
17.183862302477472,cat,animals,3,586.0000000000,0.0005677352,0.1510546683,0.2072419979,0.1904414174,0.2570559197,0.1925286649,0.2101913370
24.166357815499957,my,pronouns,2,2658.0000000000,0.0027401500,0.0273154183,0.0480333425,0.0550436119,0.0783129283,0.0565143408,0.0893273140
24.39484342671003,hamburger,food_drink,9,11.0000000000,0.0000070449,0.0000070419,0.0000088558,0.0000059961,0.0000064102,0.0000060009,0.0000069362
25.349065502619336,thirsty,descriptive_words,7,55.0000000000,0.0000606840,0.0013081350,0.0014604300,0.0059194000,0.0067849400,0.0051836600,0.0082939400
25.256476722865266,give,action_words,4,725.0000000000,0.0007617350,0.0118125324,0.0148561395,0.0132550406,0.0158440881,0.0131049312,0.0157078154
25.966769909518128,share,action_words,5,55.0000000000,0.0000569418,0.0008096655,0.0006745100,0.0022643680,0.0003540153,0.0019211993,0.0003058782
24.436576440617614,soup,food_drink,4,73.0000000000,0.0000769007,0.0350052486,0.0273650919,0.0522670925,0.0281713366,0.0555793085,0.0280785890
26.035642157410024,high,descriptive_words,4,138.0000000000,0.0001467560,0.0009962060,0.0926224837,0.0054062469,0.1212677295,0.0047255633,0.1212677295
26.950293445329624,drawer,furniture_rooms,6,37.0000000000,0.0000394779,0.0459829000,0.2209680000,0.0728440000,0.3986710000,0.0754216000,0.4002600000
23.37871753270325,chin,body_parts,4,37.0000000000,,,,,,,
19.606153914214953,airplane,vehicles,8,76.0000000000,0.0000781480,0.0075000410,0.0591918291,0.0055478051,0.0924375650,0.0057461255,0.0924331274
26.40538273814624,lamb,animals,4,57.0000000000,0.0000507048,0.0015180398,0.0013645382,0.0014167433,0.0012178566,0.0014655100,0.0013055297
21.447547747341584,sit,action_words,3,719.0000000000,0.0007492610,0.0130827207,0.0169940050,0.0437505643,0.0428547574,0.0400278831,0.0476604267
26.84928912147882,nuts,food_drink,4,41.0000000000,0.0000457150,0.0001268516,0.0001124447,0.0001050377,0.0000903989,0.0001085952,0.0000894295
26.508200318674678,write,action_words,5,133.0000000000,0.0001417670,0.0016223664,0.0039082870,0.0021083509,0.0108688140,0.0019983291,0.0119948870
29.66839586478971,how,question_words,3,2212.0000000000,0.0020679578,0.0099979379,0.0147497714,0.0280017063,0.0287745955,0.0278394334,0.0282109653
27.341495327622283,lamp,household,4,16.0000000000,0.0000157769,0.0001360059,0.0001548651,0.0001386100,0.0001223932,0.0001331440,0.0001223932
23.82740373641886,animal,animals,6,170.0000000000,0.0001829310,0.0038253666,0.0142199282,0.0031584338,0.0129609258,0.0031442361,0.0165182058
22.139004913990643,elephant,animals,8,235.0000000000,0.0002108242,0.0194023988,0.1337430982,0.0383799673,0.1798591871,0.0642485747,0.1213766314
28.009180097537538,wolf,animals,4,42.0000000000,0.0000419727,0.0000381232,0.0000375789,0.0000362548,0.0000311223,0.0000357912,0.0000340213
34.25660384480605,if,connecting_words,2,1671.0000000000,0.0017559300,0.0359073361,0.0552936296,0.0608126621,0.0867384447,0.0603077708,0.0829979201
26.19840863724812,beach,places,5,87.0000000000,0.0000956119,0.0009341677,0.0068893636,0.0010967863,0.0054563512,0.0009846856,0.0055777898
20.967624234727037,pizza,food_drink,5,77.0000000000,0.0000806429,0.0004736511,0.0014584550,0.0043501386,0.0115917247,0.0037180739,0.0159745687
26.022486157856076,plant,household,5,64.0000000000,0.0000606840,0.0002213256,0.0001772282,0.0002151280,0.0001992482,0.0002153745,0.0002025260
24.164975269112794,sandwich,food_drink,8,59.0000000000,0.0000594366,0.0016426153,0.0011331053,0.0021093443,0.0382481270,0.0021189882,0.0382428912
20.231691381226106,pig,animals,3,244.0000000000,0.0002677570,0.0045146898,0.0222838150,0.0059496079,0.0473102781,0.0059382081,0.0473269152
27.543321606511793,farm,places,4,118.0000000000,0.0001218080,0.0118890256,0.0072281395,0.0146539692,0.0202331542,0.0146325566,0.0199037415
26.822412445881238,ladder,outside,6,34.0000000000,0.0000332408,0.0003593396,0.0002628318,0.0003768201,0.0009524305,0.0003757136,0.0009500218
29.18875207632717,after,time_words,5,405.0000000000,0.0004274260,0.0354105768,0.1346349376,0.0795993061,0.1469152574,0.0802943307,0.1043671101
27.797774973771617,mad,descriptive_words,3,48.0000000000,0.0000569418,0.0000178746,0.0000099729,0.0000175911,0.0000085268,0.0000179513,0.0000085616
26.469456789263045,backyard,outside,8,15.0000000000,0.0000170243,0.0002648270,0.0020620000,0.0002558100,0.0024672600,0.0002658110,0.0027756000
24.835029359697852,man,people,3,254.0000000000,0.0002702510,0.0197297129,0.0697717166,0.0222383307,0.0745560253,0.0223417260,0.0562088647
26.649099424160138,a,quantifiers,1,20925.0000000000,0.0219429000,0.1188949719,0.1546453097,0.1949186279,0.1949432097,0.2055634715,0.1850124160
19.82596658985609,light,household,5,218.0000000000,0.0002147743,0.0067297670,0.0064815922,0.0067175273,0.0081789893,0.0066755991,0.0081911575
32.662267717565754,their,pronouns,5,536.0000000000,0.0005633950,0.0061175913,0.0168543796,0.0078453762,0.0135355980,0.0077819590,0.0135761180
26.856622375592774,sandbox,outside,7,12.0000000000,0.0000120346,0.0000022353,0.0000019436,0.0000019997,0.0000016199,0.0000019246,0.0000016199
